Session_ID,Session_Date,Start_Hour,Station_ID,City,State,Station_Ownership,Charger_Type,Connector_Type,Customer_Type,Payment_Method,Session_Duration_Hours,Energy_Consumed_kWh,Price_per_kWh,Revenue,Electricity_Cost,Maintenance_Cost,Other_Cost,Profit,Occupancy_Rate_Pct,Customer_Rating,Session_Status
SES-004610,2024-04-03,7,EV-073,Jaipur,Rajasthan,Franchise,DC Fast,CCS2,Taxi/Ride-share,Card,0.27,8.76,11.2,98.11,62.37,51.35,37.73,-53.34,26.1,3.7,Completed
SES-001281,2024-02-04,19,EV-040,Delhi,Delhi,Franchise,DC Ultra-Fast,CCS2,Private,UPI,0.57,70.52,19.46,1372.32,532.98,239.65,57.65,542.04,31.5,4.3,Completed
SES-002664,2024-12-08,4,EV-026,Pune,Maharashtra,Own,AC Level 2,CHAdeMO,Private,UPI,0.28,3.68,8.69,31.98,24.74,171.49,31.47,-195.72,30.0,4.0,Completed
SES-000200,2025-04-09,8,EV-076,Chennai,Tamil Nadu,Franchise,AC Level 2,CCS2,Taxi/Ride-share,UPI,0.83,14.76,8.59,126.79,107.68,111.43,36.17,-128.49,47.9,3.7,Completed
SES-003936,2024-08-16,13,EV-034,Hyderabad,Telangana,Franchise,DC Fast,CHAdeMO,Taxi/Ride-share,Corporate Account,0.61,19.77,15.84,313.16,115.44,175.5,6.31,15.91,22.1,3.8,Cancelled
SES-000299,2024-03-23,18,EV-065,Bengaluru,Karnataka,Franchise,AC Level 2,Type 2,Corporate,Card,2.36,28.85,8.61,248.4,227.37,46.56,43.56,-69.09,48.6,3.6,Completed
SES-003261,2025-11-02,20,EV-032,Chennai,Tamil Nadu,Partner,DC Fast,CCS2,Fleet,Wallet,0.55,28.96,14.89,431.21,192.26,31.58,49.32,158.05,43.6,4.3,Completed
SES-004631,2024-01-08,2,EV-077,Delhi,Delhi,Own,DC Fast,CCS2,Fleet,Card,1.41,44.67,14.88,664.69,298.66,90.99,72.84,202.2,26.4,5.0,Completed
SES-004271,2025-09-27,23,EV-069,Pune,Maharashtra,Own,DC Fast,CCS2,Corporate,UPI,1.19,64.19,14.68,942.31,526.95,65.32,31.38,318.66,28.4,3.0,Completed
SES-002810,2024-09-21,3,EV-042,Lucknow,Uttar Pradesh,Franchise,DC Ultra-Fast,CCS2,Taxi/Ride-share,UPI,1.48,180.0,14.85,2673.0,1274.2,137.72,75.6,1185.48,5.5,3.3,Completed
SES-001242,2025-09-27,6,EV-084,,Maharashtra,Own,DC Ultra-Fast,CHAdeMO,Private,UPI,1.38,138.59,16.73,2318.61,938.42,96.01,40.03,1244.15,45.9,4.4,Completed
SES-001171,2025-11-20,21,EV-060,Jaipur,Rajasthan,Franchise,DC Ultra-Fast,Type 2,Private,Card,0.69,57.39,17.34,995.14,469.92,323.49,9.58,192.15,29.9,3.3,Completed
SES-002611,2024-04-19,11,EV-092,Gurugram,Haryana,Own,AC Level 2,CCS2,Private,UPI,0.39,3.97,8.75,34.74,23.37,32.77,41.04,-62.44,37.3,3.5,Completed
SES-000105,2025-07-04,21,EV-097,Jaipur,Rajasthan,Franchise,DC Ultra-Fast,Type 2,Taxi/Ride-share,Corporate Account,0.5,69.7,15.96,1112.41,524.21,51.35,26.52,510.33,47.8,4.6,Failed
SES-004800,2025-11-01,19,EV-049,Chennai,Tamil Nadu,Partner,DC Fast,CCS2,Private,Corporate Account,1.57,83.59,15.48,1293.97,585.14,142.86,79.0,486.97,36.8,4.3,Completed
